YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2023,9,29,1,32.5,27.4,78,2,280
2023,9,30,0.5,32.1,27.6,85,4,250
2023,10,1,14,31.6,24.9,83,4,260
2023,10,2,25,31.1,25.8,87,5,240
2023,10,3,12,29.6,26.5,87,5,250
2023,10,4,-1,29.7,26.1,87,4,230
2023,10,5,11.5,31.5,24.1,93,3,260
2023,10,6,0,30.1,25.6,83,3,260
2023,10,7,0,31.5,25.8,81,3,290
2023,10,8,2,32,26.3,85,2,280
2023,10,9,2,34.5,26.6,85,2,90
2023,10,10,1,33.2,26,71,2,130
2023,10,11,17.5,32.4,25.3,83,2,210
2023,10,12,2.5,32.4,25.9,84,2,120
2023,10,13,2.5,33.5,25.9,79,2,120
2023,10,14,0.5,32.4,25.5,76,2,130
2023,10,15,0,33.8,27.5,72,3,120
2023,10,16,0,32.4,26.1,76,2,120
2023,10,17,9.5,33.1,26.2,79,2,110
2023,10,18,0.5,33.5,25.9,77,2,120
2023,10,19,1,29.7,25.2,92,1,180
2023,10,20,26.5,32.4,25.3,81,2,20
2023,10,21,-1,28.9,25.6,90,1,80
2023,10,22,1,31.1,25.2,84,2,270
2023,10,23,1,29.4,24.7,87,1,110
2023,10,24,17.5,31.1,24.8,87,1,300
2023,10,25,0,33.1,25.7,77,2,130
2023,10,26,0,33.6,26.4,74,2,130
2023,10,27,4.5,33.8,26,78,2,120
2023,10,28,0,33.8,25.8,73,2,120
2023,10,29,0,33.5,25.4,70,3,110
2023,10,30,0,34.3,26.3,64,3,100
2023,10,31,-1,33.8,26.9,61,4,60
2023,11,1,3.2,29.8,25.5,83,2,50
2023,11,2,3,32.1,26.6,83,2,200
2023,11,3,0,34.5,26.9,73,2,130
2023,11,4,0,34.2,26.6,74,2,130
2023,11,5,0,34.7,26.7,76,2,110
2023,11,6,2,34.8,26.1,73,2,110
2023,11,7,1.5,33,25.6,74,2,120
2023,11,8,0,32.4,27,79,2,120
2023,11,9,0,35,26.3,71,2,110
2023,11,10,0,34.1,26.2,70,3,110
2023,11,11,-1,32.3,26.1,75,2,50
2023,11,12,-1,33.7,26.4,72,3,120
2023,11,13,1.5,32.1,26.1,72,2,120
2023,11,14,-1,34.3,26.1,70,3,90
2023,11,15,1,30,25.1,82,2,70
2023,11,16,0,34.4,25.3,70,3,70
2023,11,17,0,33,25.5,65,3,30
2023,11,18,0,32.4,26.2,65,3,80
2023,11,19,0,32.4,24.1,65,2,100
2023,11,20,0,32.7,24.7,68,2,280
2023,11,21,0,32.2,24.7,67,2,100
2023,11,22,0,32.3,25.7,72,2,140
2023,11,23,1,32.2,26.6,78,2,130
2023,11,24,0.5,33.2,25.6,79,2,120
2023,11,25,2.5,30.3,23.7,86,2,60
2023,11,26,0.5,30.9,24.5,81,2,320
2023,11,27,-1,33.7,26.7,74,2,70
2023,11,28,2,33.4,26.1,75,3,110
2023,11,29,0,34,26.8,71,2,120
2023,11,30,0,34.7,26.8,67,3,80
2023,12,1,-1,33.6,26.6,67,3,90
2023,12,2,0,34.3,25.1,67,3,110
2023,12,3,1.5,30.9,24.9,81,2,100
2023,12,4,0,33.8,26.8,67,3,120
2023,12,5,0,33,26.4,73,2,140
2023,12,6,0,33.8,27.2,72,2,120
2023,12,7,-1,33,25.5,76,3,120
2023,12,8,0,33.5,25.1,70,3,120
2023,12,9,0,33.8,25.3,69,3,110
2023,12,10,0.5,34.6,25.1,76,2,110
2023,12,11,0.5,31.2,25.1,75,2,110
2023,12,12,0,33.4,25.2,69,2,110
2023,12,13,-1,34.1,25.2,68,3,110
2023,12,14,1.5,33,25.6,73,3,70
2023,12,15,11,30.5,24.6,86,2,350
2023,12,16,-1,32,25.3,78,2,110
2023,12,17,0.5,32.9,25.1,62,3,70
2023,12,18,2.5,31.9,25.2,81,2,90
2023,12,19,-1,31.5,26.5,77,2,110
2023,12,20,-1,33.1,26.1,73,2,110
2023,12,21,21.5,30.7,24.2,79,2,130
2023,12,22,1.5,29.2,24,77,3,10
2023,12,23,0,30.7,25.2,72,3,30
2023,12,24,0,31.9,25.4,74,2,120
2023,12,25,0,32.5,25.5,68,3,70
2023,12,26,0.5,30.7,24.9,82,2,130
2023,12,27,5.5,31.8,25.2,80,2,110
2023,12,28,0,32.1,24.7,78,2,110
2023,12,29,0.5,33,25.3,73,2,80
2023,12,30,-1,33.1,25.8,75,2,120
2023,12,31,0,32.8,25.2,72,3,120
2024,1,1,0,32.8,26,74,3,110
2024,1,2,0,32,25.6,78,2,130
2024,1,3,0,32.9,26.5,77,2,120
2024,1,4,0,33.5,25.8,70,3,110
2024,1,5,0,32,24.7,70,2,120
2024,1,6,0,31.9,26.3,69,3,110
2024,1,7,0,32.2,24.4,66,3,100
2024,1,8,0.5,32.3,25.3,72,3,120
2024,1,9,-1,32.9,25.8,82,2,130
2024,1,10,-1,32.2,25.3,74,3,280
2024,1,11,0,31.5,24.6,72,3,120
2024,1,12,0,30.7,25.1,67,3,120
2024,1,13,0,30.9,24.8,70,3,120
2024,1,14,0,31.5,24.2,70,3,120
2024,1,15,0,31.9,25,68,3,110
2024,1,16,0,31.6,25,62,4,100
2024,1,17,0,31,22.2,62,4,80
2024,1,18,0,31.1,25,67,2,140
2024,1,19,0,31.7,24,72,2,110
2024,1,20,0.5,29.9,24.4,78,2,150
2024,1,21,0,32.8,25.1,69,2,110
2024,1,22,-1,31.4,24.9,77,2,100
2024,1,23,0.5,32.1,24.5,77,3,140
2024,1,24,0,31.2,23.4,65,3,90
2024,1,25,0,30.4,23,70,3,90
2024,1,26,0,29.5,21.7,64,3,90
2024,1,27,-1,31.1,22.5,63,3,80
2024,1,28,0,29.7,22.5,66,3,80
2024,1,29,0,31.3,24,57,4,110
2024,1,30,0,31.7,23,66,3,120
2024,1,31,0,30.7,23.4,71,3,110
2024,2,1,-1,32.6,24.2,70,3,110
2024,2,2,0,32.2,23.2,71,3,110
2024,2,3,0,32.9,25.6,69,4,100
2024,2,4,0,33.1,24.4,67,3,130
2024,2,5,0,33.2,24.3,71,3,120
2024,2,6,0,34.3,23.1,70,3,120
2024,2,7,0,32.8,24.9,64,3,130
2024,2,8,0,33.2,24.9,67,2,290
2024,2,9,0,33,24.3,72,2,120
